census_id,self_m1,self_m2,self_m3,self_m4,self_m5,self_m6,self_m7,self_m8,self_m9,self_m10,self_m11,self_m12
4802003003,0.9934,0.9796,0.9594,0.9244,0.9493,0.9155,0.93,0.9128,0.937,0.9757,0.9881,0.9924
4802003005,0.9917,0.974,0.9498,0.9097,0.9386,0.9032,0.9166,0.8999,0.9231,0.97,0.9858,0.9894
4802003006,0.9867,0.9648,0.9368,0.8992,0.9287,0.895,0.9089,0.8919,0.9106,0.9574,0.9791,0.985
4802003007,0.9864,0.9641,0.9359,0.8983,0.9278,0.8944,0.9085,0.8915,0.9096,0.9563,0.9788,0.9848
4802003009,0.9766,0.9444,0.8985,0.8574,0.8937,0.8656,0.8704,0.8523,0.8713,0.9332,0.9681,0.9709
4802003010,0.9909,0.9715,0.9444,0.9009,0.9316,0.8958,0.9088,0.8921,0.9166,0.967,0.9846,0.9886
4802003011,0.9783,0.9447,0.8973,0.8479,0.8856,0.8561,0.8626,0.8434,0.8665,0.9318,0.9696,0.974
